1.894	0.09
7.693	0.34
12.012	1.180
14.576	2.097
16.845	3.786
19.136	4.662
20.866	6.723
27.468	12.463
30.951	16.690
35.238	21.751
40.817	29.689
46.126	34.812
51.753	40.751
58.456	47.345
64.744	54.313
72.905	61.961
80.433	69.453
90.332	75.302
100.684	80.906
108.625	87.345
115.546	91.001
120.831	95.010
125.654	98.513
127.727	101.625
129.996	106.079
131.703	111.060
131.917	126.979
132.478	134.262
133.080	168.774
133.713	153.535
134.325	135.509
135.451	116.473
135.429	101.760
142.615	102.670
147.364	103.739
154.675	106.365
159.647	108.422
168.150	109.424
177.411	111.674
190.614	115.695
201.606	118.098
207.896	119.846
220.881	122.485
234.990	123.855
247.517	124.936
263.012	127.180
264.696	127.684
271.891	128.182
277.720	128.176
288.228	128.671
293.373	129.193
296.982	130.200
